arm,cap_fraction,annual_cap_tco2,status,npv_cost,real_expenditure,voll_penalty,cum_emissions,cum_unserved,solar_total_mw,storage_mwh,system_lcoe,gas_share_2030,solar_share_2045
eaas_moderate,0.5125,3967075.403909528,optimal,99474390463.58542,14304828645.0,85169561818.0,83308585.27656001,8.700683999999999,16087.319599999999,12163.885699999999,349.8672137879027,0.33557211340409404,0.7757851990540517
eaas_moderate,0.475,3676801.593867368,optimal,112840123853.9016,14507637945.0,98332485909.0,77212835.04165001,10.079657000000001,16378.83255,12163.885699999999,398.72254952314637,0.31101805684564343,0.7894191952801706
eaas_moderate,0.4375,3386527.7838252075,optimal,126205857346.13776,14710447346.0,111495410000.0,71117084.80673997,11.45863,16670.34557,12163.885699999999,448.03447330896205,0.2864639984571165,0.8030531921945624
eaas_moderate,0.4,3096253.973783047,optimal,139848449698.77783,15190115608.0,124658334091.0,65021334.57183001,12.837603000000001,16826.904389,14190.5111,498.7968914445222,0.26190994186056743,0.8103754143346316
eaas_moderate,0.36250000000000004,2805980.1637408864,optimal,154964708053.55862,15844210368.0,139120497686.0,58925584.33691998,14.37378398,16893.3714171,17570.057099999998,555.5777802748015,0.23735588598205148,0.8134840654021047
eaas_moderate,0.32500000000000007,2515706.353698726,optimal,173983072398.65823,16001420167.0,157981652231.0,52829834.10201001,16.44224297,17184.884397100002,17570.057099999998,628.0088604402988,0.2128018283569931,0.827118062007002
eaas_moderate,0.2875,2225432.543656565,optimal,193001447106.39758,16158629999.0,176842817107.0,46734083.86709999,18.510703,17476.39741,17570.057099999998,701.4329762598904,0.18824777019329958,0.8407520588621704
eaas_moderate,0.25,1935158.7336144042,optimal,212019809756.73325,16315839757.0,195703970000.0,40638333.63219001,20.5791618,17767.91037,17570.057099999998,775.8706121739098,0.1636937128781003,0.8543860553203467
eaas_moderate,0.21250000000000002,1644884.9235722437,optimal,231038184140.02875,16473049512.0,214565134628.0,34542583.39728,22.6476218,18059.42329,17570.057099999998,851.3429860112935,0.1391396559319908,0.868020051562355
eaas_moderate,0.17500000000000004,1354611.1135300833,optimal,250056548563.95956,16630259308.0,233426289256.0,28446833.542533,24.7160808,18350.93627,17570.057099999998,927.8717383612619,0.11458559949749073,0.8816540474685559
eaas_moderate,0.13750000000000007,1064337.3034879228,optimal,269532206583.8262,17244752700.0,252287453884.0,22351083.307623006,26.784540800000002,18404.72735,21139.9619,1007.1880557195553,0.09003154120797618,0.8841698415111742
eaas_moderate,0.1,774063.4934457617,optimal,291770058651.3175,17614128651.0,274155930000.0,16255333.452876003,29.253274290000004,18573.96227,22976.228499999997,1099.2694981997663,0.06547748515151992,0.8920849212176805
