initiative,instrument,jurisdiction,region,income_group,start_year,year,carbon_price
Switzerland carbon tax,Carbon tax,Switzerland,Europe & Central Asia,High income,2008,2021,101.47455208498495
Switzerland ETS,ETS,Switzerland,Europe & Central Asia,High income,2008,2021,46.10305001663398
Tianjin pilot ETS,ETS,Tianjin,East Asia & Pacific,Upper middle income,2013,2021,3.804364366801595
Tokyo CaT,ETS,Tokyo,East Asia & Pacific,High income,2010,2021,4.8740861088545895
UK Carbon Price Support,Carbon tax,United Kingdom,Europe & Central Asia,High income,2013,2021,24.795000002293538
Ukraine carbon tax,Carbon tax,Ukraine,Europe & Central Asia,Lower middle income,2011,2021,0.3594200398237404
Zacatecas carbon tax,Carbon tax,Zacatecas,Latin America & Caribbean,Upper middle income,2017,2021,12.23091976516634
Alberta TIER,ETS,Alberta,North America,High income,2007,2022,39.9616368286445
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2022,4.995626443680344
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2022,8.56806214601272
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2022,7.803341121683639
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2022,7.423381924624916
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2022,4.918662932847035
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2022,3.081211837679164
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2022,2.953344085351644
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2022,2.953182997486229
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2022,6.7961163845098
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2022,6.7961163845098
BC carbon tax,Carbon tax,British Columbia,North America,High income,2008,2022,39.9616368286445
BC OBPS,ETS,British Columbia,North America,High income,2016,2022,19.98081841432225
Beijing pilot ETS,ETS,Beijing,East Asia & Pacific,Upper middle income,2013,2022,6.527961250550418
California CaT,ETS,California,North America,High income,2012,2022,30.82
Canada federal fuel charge,Carbon tax,Canada,North America,High income,2019,2022,39.9616368286445
Canada federal OBPS,ETS,Canada,North America,High income,2019,2022,39.9616368286445
Chile carbon tax,Carbon tax,Chile,Latin America & Caribbean,High income,2017,2022,5.0
